tuningName;tuningInstrument;tuningType;tuningNotes;tuningComments;
A Dropped;Guitar;Dropped;A1-E2-A2-D3-F♯3-B3;"Two and one half steps down from Drop D. This tuning is most often used by death metal or deathcore musicians, such as Suicide Silence or Whitechapel (both use seven-string guitars and tune down the seventh string a full step). Utilized by bands like Nile, Motograter, Thrice, Filter (on the songs ""Columind"" and ""The Missing"" from The Amalgamut and ""Drug Boy"" and ""The Trouble with Angels"" from the album of the same name), Dead by April, RED, Ill Niño (on Dead New World) and occasionally Slipknot, Crowbar, Amon Amarth, and Parkway Drive. Trapt uses this tuning on their songs ""Hollow Man"" and ""Waiting"".";
A Dropped 7 strings;Guitar;Dropped;A1-E2-A2-D3-G3-B3-E4;;
A in D standard variation Dropped;Guitar;Dropped;A1-G2-C3-F3-A3-D4;"Used by Mastodon on most of their first album (Remission) and on some songs on other albums. Also utilized by Periphery on the song ""Zyglrox."" Also used on occasion by Black Label Society, who previously tuned it a half-step up, which Alter Bridge also utilizes on some of their songs such as ""Broken Wings"", ""Come to Life"", ""I Know it Hurts"", ""Still Remains"", ""Breath Again"", and ""All Hope is Gone."" Creed and Architects both use this tuning tuned a half-step down on their songs ""Bread of Shame"" and ""Early Grave"", respectively. Danish industrial metal band Raunchy used this tuning tuned one and a half-step down (F♯-E-A-D F♯ B) on the song ""Dim the Lights and Run"" from the album A Discord Electric.";
A in standard variation Dropped;Guitar;Dropped;A1-A2-D3-G3-B3-E4;"The 6th string is dropped to A while the other strings retain their standard tuning. Used by Sevendust tuned a half-step down on ""Home"" and Opeth on the song Sorceress, while ""Chopped"" uses a Dropped A variation of Dsus4 tuning tuned down a half step, as well as a whole step down on several songs from the album ""Kill the Flaw."" A 7-string version of this tuning is used by Muse on their song ""Citizens Erased, tuned A-A-D-D-G-B-E.";
A Major Open;Guitar;Open Major;E2-A3-C♯3-E3-A3-E4;;
A Major Open alt.;Guitar;Open Major;A2-E3-A3-E4-A4-C♯4;"One step down from ""Open B"".";
A Major Open slide;Guitar;Open Major;E2-A3-E3-A3-C♯4-E4;"Identical to ""Open G"" tuning but with every string raised one step or two frets) Used by Jimmy Page on ""In My Time of Dying"""" and Jack White on ""Seven Nation Army"".";
A Minor Open;Guitar;Open Minor;E2-A2-C3-E3-A3-E4;;
A Minor Open alt.;Guitar;Open Minor;E2-A2-E3-A3-C4-E4;;
A Minor Open Low;Guitar;Open Minor;E2-A2-E3-A3-E3-A3;An alternative low guitar system. Recalls the sound of Indian sitar.;
A♯/B♭ Dropped;Guitar;Dropped;A♯1-F2-A♯2-D♯3-G3-C4;Two full steps down from Drop D. Utilized by bands such as A Day To Remember (on Mr Highway's Thinking About The End, Welcome To The Family, Violence (Enough is Enough), Life Lessons Learned the Hard Way and Sticks and Bricks), Hostility, Issues, StatiC-X, Bring Me the Horizon (since Suicide Season), In Flames, Hellyeah, Amaranthe, Breaking Benjamin (since Phobia), Parkway Drive, Otep, Spineshank, RED, Bury Your Dead, Eye Empire, Dirge Within, Remembering Never, and occasionally Chevelle, Darkest Hour, Evanescence, 9oz. of Nothing, and For the Fallen Dreams.;
All fifths alt. Regular;Guitar;Regular;G2-D3-A3-E3-B3-F♯4;;
All fifths Regular;Guitar;Regular;C2-G2-D3-A3-E3-B3;"All-Fifths tuning is a tuning in intervals of perfect fifths like that of a mandolin, cello or violin; other names include ""perfect fifths"" and ""fifths"". It has a wide range, thus it requires an appropriate range of string gauges. A high B sting is particularly thin and taut, which can be avoided by shifting the scale down by several steps or by a fifth.";
All fourths Regular;Guitar;Regular;E2-A2-D3-G3-C4-F4;"This tuning is like that of the lowest four strings in standard tuning. Jazz musician Stanley Jordan plays guitar in all-Fourths tuning; he has stated that all-Fourths tuning ""simplifies the fingerboard, making it logical"".";
Alternative;Cello;Regular;C2-G2-D3-G3;;
Alto;Balalaika;Regular;E3-E3-A3;;
Asus2 Modal;Guitar;Modal;E2-A2-B2-E3-A3-E4;In modal tunings, the strings are tuned to form a chord which is not definitively minor or major. These tunings may facilitate very easy chords and unique sounds when the open strings are used as drones. Often these tunings form a suspended chord on the open strings. A well known user of modal tunings is Sonic Youth.;
Asus4 Modal;Guitar;Modal;E2-A2-D3-E3-A3-E4;"Used by Davey Graham in ""Lord Mayo/Lord Inchiquin.";
Augmented fourths alt. Regular;Guitar;Regular;B2-F2-B3-F3-B3-F4;;
Augmented fourths Regular;Guitar;Regular;C2-F♯2-C3-F♯3-C4-F♯4;"Between the all-Fifths and all-Fourths tunings are augmented-Fourth tunings, which are also called ""diminished-Fifths"" or ""tritone"" tunings.";
